,SeasonID,TeamID,TeamCity,TeamName,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,isPlayoff
10,22016,1610612749,Milwaukee,Bucks,12.0,0.402,-4.2,6.0,0.5,0.4,15.0,0.183,-8.2,1
12,22016,1610612754,Indiana,Pacers,7.0,0.549,1.7,9.0,0.463,0.3,1.0,0.683,4.4,1
14,22016,1610612741,Chicago,Bulls,9.0,0.512,-1.5,3.0,0.61,3.0,4.0,0.585,1.9,1
17,22016,1610612748,Miami,Heat,3.0,0.585,1.6,10.0,0.451,-2.6,2.0,0.659,4.8,0
19,22016,1610612765,Detroit,Pistons,8.0,0.537,0.6,12.0,0.39,-1.0,11.0,0.354,-3.7,0
21,22016,1610612766,Charlotte,Hornets,6.0,0.585,2.7,11.0,0.402,-3.2,7.0,0.524,-0.2,0
22,22016,1610612752,New York,Knicks,13.0,0.39,-2.7,15.0,0.207,-9.3,9.0,0.451,-0.8,0
25,22016,1610612753,Orlando,Magic,11.0,0.427,-1.6,13.0,0.305,-5.7,13.0,0.28,-5.4,0
27,22016,1610612755,Philadelphia,76ers,15.0,0.122,-10.2,14.0,0.22,-9.0,14.0,0.232,-10.5,0
28,22016,1610612751,Brooklyn,Nets,14.0,0.256,-7.4,8.0,0.463,-2.9,6.0,0.537,-1.0,0
1,22017,1610612761,Toronto,Raptors,3.0,0.622,4.2,2.0,0.683,4.5,4.0,0.598,3.1,1
3,22017,1610612738,Boston,Celtics,1.0,0.646,2.6,5.0,0.585,3.2,7.0,0.488,0.2,1
5,22017,1610612755,Philadelphia,76ers,14.0,0.341,-5.7,15.0,0.122,-10.2,14.0,0.22,-9.0,1
6,22017,1610612739,Cleveland,Cavaliers,2.0,0.622,3.2,1.0,0.695,6.0,2.0,0.646,4.5,1
9,22017,1610612754,Indiana,Pacers,7.0,0.512,-0.2,7.0,0.549,1.7,9.0,0.463,0.3,1
10,22017,1610612748,Miami,Heat,9.0,0.5,1.1,3.0,0.585,1.6,10.0,0.451,-2.6,1
13,22017,1610612749,Milwaukee,Bucks,6.0,0.512,-0.2,12.0,0.402,-4.2,6.0,0.5,0.4,1
14,22017,1610612764,Washington,Wizards,4.0,0.598,1.8,10.0,0.5,-0.5,5.0,0.561,0.7,1
16,22017,1610612765,Detroit,Pistons,10.0,0.451,-1.1,8.0,0.537,0.6,12.0,0.39,-1.0,0
18,22017,1610612766,Charlotte,Hornets,11.0,0.439,0.2,6.0,0.585,2.7,11.0,0.402,-3.2,0
20,22017,1610612752,New York,Knicks,12.0,0.378,-3.7,13.0,0.39,-2.7,15.0,0.207,-9.3,0
23,22017,1610612751,Brooklyn,Nets,15.0,0.244,-6.7,14.0,0.256,-7.4,8.0,0.463,-2.9,0
24,22017,1610612741,Chicago,Bulls,8.0,0.5,0.4,9.0,0.512,-1.5,3.0,0.61,3.0,0
26,22017,1610612753,Orlando,Magic,13.0,0.354,-6.6,11.0,0.427,-1.6,13.0,0.305,-5.7,0
28,22017,1610612737,Atlanta,Hawks,5.0,0.524,-0.9,4.0,0.585,3.6,1.0,0.732,5.4,0
1,22018,1610612749,Milwaukee,Bucks,7.0,0.537,-0.3,6.0,0.512,-0.2,12.0,0.402,-4.2,1
3,22018,1610612761,Toronto,Raptors,1.0,0.72,7.8,3.0,0.622,4.2,2.0,0.683,4.5,1
5,22018,1610612755,Philadelphia,76ers,3.0,0.634,4.5,14.0,0.341,-5.7,15.0,0.122,-10.2,1
7,22018,1610612738,Boston,Celtics,2.0,0.671,3.6,1.0,0.646,2.6,5.0,0.585,3.2,1
9,22018,1610612754,Indiana,Pacers,5.0,0.585,1.4,7.0,0.512,-0.2,7.0,0.549,1.7,1
11,22018,1610612751,Brooklyn,Nets,12.0,0.341,-3.7,15.0,0.244,-6.7,14.0,0.256,-7.4,1
13,22018,1610612753,Orlando,Magic,14.0,0.305,-4.8,13.0,0.354,-6.6,11.0,0.427,-1.6,1
14,22018,1610612765,Detroit,Pistons,9.0,0.476,-0.1,10.0,0.451,-1.1,8.0,0.537,0.6,1
16,22018,1610612766,Charlotte,Hornets,10.0,0.439,0.3,11.0,0.439,0.2,6.0,0.585,2.7,0
19,22018,1610612748,Miami,Heat,6.0,0.537,0.5,9.0,0.5,1.1,3.0,0.585,1.6,0
20,22018,1610612764,Washington,Wizards,8.0,0.524,0.6,4.0,0.598,1.8,10.0,0.5,-0.5,0
22,22018,1610612737,Atlanta,Hawks,15.0,0.293,-5.5,5.0,0.524,-0.9,4.0,0.585,3.6,0
24,22018,1610612741,Chicago,Bulls,13.0,0.329,-7.0,8.0,0.5,0.4,9.0,0.512,-1.5,0
26,22018,1610612739,Cleveland,Cavaliers,4.0,0.61,0.9,2.0,0.622,3.2,1.0,0.695,6.0,0
28,22018,1610612752,New York,Knicks,11.0,0.354,-3.6,12.0,0.378,-3.7,13.0,0.39,-2.7,0
1,22019,1610612749,Milwaukee,Bucks,1.0,0.732,8.9,7.0,0.537,-0.3,6.0,0.512,-0.2,1
3,22019,1610612761,Toronto,Raptors,2.0,0.707,6.1,1.0,0.72,7.8,3.0,0.622,4.2,1
4,22019,1610612738,Boston,Celtics,4.0,0.598,4.4,2.0,0.671,3.6,1.0,0.646,2.6,1
7,22019,1610612754,Indiana,Pacers,5.0,0.585,3.3,5.0,0.585,1.4,7.0,0.512,-0.2,1
8,22019,1610612748,Miami,Heat,10.0,0.476,-0.2,6.0,0.537,0.5,9.0,0.5,1.1,1
10,22019,1610612755,Philadelphia,76ers,3.0,0.622,2.7,3.0,0.634,4.5,14.0,0.341,-5.7,1
